phase_id,operation_id,function_id,job_id,task_id,task_name,task_description,source_atlas_file,source_section,dependency_task_ids,estimated_complexity,status
PHASE-01,OP-01,FN-01,JOB-01,TASK-0001,Load_app_settings,Read ~/.config/focus_manager/settings.json and apply UI scale/theme/density, SINGULARITY-CONSOLE.md,Data & Persistence,,low,Pending
PHASE-01,OP-01,FN-02,JOB-02,TASK-0002,Load_project_meta,Load projects_meta.json and per-project manifests (.project.json) into memory, SINGULARITY-CONSOLE.md,Data & Persistence,,moderate,Pending
PHASE-01,OP-01,FN-03,JOB-03,TASK-0003,Discover_projects,Scan ~/PROJECTS for project folders excluding atlas root and populate Projects table, SINGULARITY-CONSOLE.md,System Topology,,moderate,Pending
PHASE-02,OP-02,FN-04,JOB-04,TASK-0004,Focus_project,Mount or set focused project (and marker) with safety checks and UI updates, SINGULARITY-CONSOLE.md,Project Lifecycle & Focus,TASK-0003,moderate,Pending
PHASE-02,OP-02,FN-05,JOB-05,TASK-0005,Unfocus_project,Clear focus marker/mount and refresh health/context labels, SINGULARITY-CONSOLE.md,Project Lifecycle & Focus,TASK-0004,low,Pending
PHASE-02,OP-02,FN-06,JOB-06,TASK-0006,Create_or_import_project,Run create/import flows with origin metadata, localsync defaults, and manifest init, SINGULARITY-CONSOLE.md,Project Lifecycle & Focus,TASK-0003,high,Pending
PHASE-03,OP-03,FN-07,JOB-07,TASK-0007,Toggle_localsync,Prompt for path, set localsync flags/paths in meta and manifest, and sync files both directions, SINGULARITY-CONSOLE.md,Project Lifecycle & Focus,TASK-0002,high,Pending
PHASE-03,OP-03,FN-08,JOB-08,TASK-0008,Update_project_status,Handle status combobox changes per project and persist to meta, SINGULARITY-CONSOLE.md,Projects tab,TASK-0003,low,Pending
PHASE-04,OP-04,FN-09,JOB-09,TASK-0009,Check_git_status,Run git status for selected project via AutoGIT integration and update label/output, SINGULARITY-CONSOLE.md,Versioning tab,TASK-0004,moderate,Pending
PHASE-04,OP-04,FN-10,JOB-10,TASK-0010,Init_git_if_missing,Initialize git repo with safe-directory handling and show result, SINGULARITY-CONSOLE.md,Versioning tab,TASK-0009,moderate,Pending
PHASE-04,OP-04,FN-11,JOB-11,TASK-0011,Auto_commit_project,Run AutoGIT commit for focused/selected project with logging and error handling, SINGULARITY-CONSOLE.md,Versioning tab,TASK-0010,moderate,Pending
PHASE-04,OP-04,FN-12,JOB-12,TASK-0012,Fetch_commit_history,Call GitHub API to list commits for selected project and populate version list, SINGULARITY-CONSOLE.md,Versioning tab,TASK-0004,moderate,Pending
PHASE-04,OP-04,FN-13,JOB-13,TASK-0013,Revert_to_commit,Reset project to selected commit after confirmation and refresh state, SINGULARITY-CONSOLE.md,Versioning tab,TASK-0012,high,Pending
PHASE-05,OP-05,FN-14,JOB-14,TASK-0014,Render_repo_overview,Fetch user repos/branches/default/updated/visibility and fill overview table with caching, SINGULARITY-CONSOLE.md,Version Control & AutoGIT,,high,Pending
PHASE-05,OP-05,FN-15,JOB-15,TASK-0015,Toggle_redaction_state,Set redacted flag/tags in manifest, update UI badges, and propagate across tabs, SINGULARITY-CONSOLE.md,Redaction Model,,moderate,Pending
PHASE-05,OP-05,FN-16,JOB-16,TASK-0016,Patch_repo_visibility,Send GitHub PATCH to set repo private/public when redaction toggles, SINGULARITY-CONSOLE.md,Redaction Model,TASK-0015,high,Pending
PHASE-06,OP-06,FN-17,JOB-17,TASK-0017,Refresh_workspace_views,Build QFileSystemModel for focused/selected project and sync list/graph selection, SINGULARITY-CONSOLE.md,Workspaces & Files,TASK-0004,moderate,Pending
PHASE-06,OP-06,FN-18,JOB-18,TASK-0018,Update_workspace_inspector,Populate inspector with type/path/size/perms/hidden/modified/status for selected node, SINGULARITY-CONSOLE.md,Workspaces & Files,TASK-0017,low,Pending
PHASE-06,OP-06,FN-19,JOB-19,TASK-0019,Modify_workspace_entity,Apply rename/permission/hidden toggles and reflect changes in graph/list, SINGULARITY-CONSOLE.md,Workspaces & Files,TASK-0018,moderate,Pending
PHASE-06,OP-06,FN-20,JOB-20,TASK-0020,Manage_workspace_tags,Edit tag field and Redacted checkbox, write to manifest, and sync Projects/Versioning, SINGULARITY-CONSOLE.md,Redaction Model,TASK-0015,moderate,Pending
PHASE-07,OP-07,FN-21,JOB-21,TASK-0021,Capture_network_events,Collect and store network events with protocol/endpoint/project filters, SINGULARITY-CONSOLE.md,Network Monitoring,,moderate,Pending
PHASE-07,OP-07,FN-22,JOB-22,TASK-0022,Render_network_views,Update graph/timeline/table views and endpoint tree with captured events, SINGULARITY-CONSOLE.md,Network Monitoring,TASK-0021,moderate,Pending
PHASE-08,OP-08,FN-23,JOB-23,TASK-0023,Manage_tasks_lists,Load lists, handle selection, and sync with TaskStore for system/project lists, SINGULARITY-CONSOLE.md,Tasks & Lists,,moderate,Pending
PHASE-08,OP-08,FN-24,JOB-24,TASK-0024,Operate_task_crud,Create/edit/save/delete tasks with priority/recurrence/due/reminder fields, SINGULARITY-CONSOLE.md,Tasks & Lists,TASK-0023,moderate,Pending
PHASE-08,OP-08,FN-25,JOB-25,TASK-0025,Import_export_tasks,Handle CSV import/export of tasks per sample format, SINGULARITY-CONSOLE.md,Tasks & Lists,TASK-0023,low,Pending
PHASE-09,OP-09,FN-26,JOB-26,TASK-0026,Apply_ui_scaling,Set UI scale/theme/density/accent and persist settings state, SINGULARITY-CONSOLE.md,UI/UX & Responsiveness,TASK-0001,low,Pending
PHASE-09,OP-09,FN-27,JOB-27,TASK-0027,Maintain_collapsible_splitters,Load/save collapsible pane states and splitter sizes across sessions, SINGULARITY-CONSOLE.md,UI/UX & Responsiveness,,low,Pending
PHASE-09,OP-09,FN-28,JOB-28,TASK-0028,Enforce_non_blocking_ops,Run background jobs via thread pool with mutation queue to avoid re-entrancy, SINGULARITY-CONSOLE.md,UI/UX & Responsiveness,,moderate,Pending
PHASE-10,OP-10,FN-29,JOB-29,TASK-0029,Run_consistency_monitor,Reconcile focus marker/mount/UI/manifest and auto-resync when mismatched, SINGULARITY-CONSOLE.md,Stability & Monitoring,TASK-0004,high,Pending
PHASE-10,OP-10,FN-30,JOB-30,TASK-0030,Handle_crash_safety,Log stability state, adjust rendering safety, and clean up mounts/watchers on teardown, SINGULARITY-CONSOLE.md,Stability & Monitoring,,high,Pending
PHASE-11,OP-11,FN-31,JOB-31,TASK-0031,Manage_credentials,Store/verify GitHub credentials (user/password/tokens) and update UI, SINGULARITY-CONSOLE.md,External Integrations,,moderate,Pending
PHASE-11,OP-11,FN-32,JOB-32,TASK-0032,Apply_git_auth_env,Generate GIT_ASKPASS and environment for non-interactive git operations, SINGULARITY-CONSOLE.md,External Integrations,TASK-0031,moderate,Pending
PHASE-12,OP-12,FN-33,JOB-33,TASK-0033,Shutdown_app,Stop audio/net watchers, threads, and persist settings on exit, SINGULARITY-CONSOLE.md,Stability & Monitoring,,moderate,Pending
